评论人,评论信息,评论时间,点赞量
六-月-吻,如果我小的情绪你都知道 那我又怎么会发朋友圈暗示你。,昨天22:19,2
六-月-吻,好希望他也这样,昨天22:17,
七月ab-08,达，1861天了，你却没看过我一眼,昨天22:15,1
你是我不可或缺的梦,抱抱你，你一定会好起来的，相信明天的太阳一定温暖明媚，温暖到你。,昨天22:10,
还会保护我吧,我受不了,昨天22:07,
要说给左耳吗,时间扑面而来我们终将释怀,昨天22:01,
一起去看海_H9,今天是分开的第284天了 还没忘掉她 她也有了新欢 不敢开口了.,昨天21:44,2
缘想浩的y,浩.对不起我没能和你永远在一起.祝你和琪永远幸福今天是我和你分开的326天我不敢去找你我怕打扰到你了怕琪吃醋怕你笑我.恐怕那时的3年你只是玩玩罢了但我忘不掉你除了我还有别人比我好100倍的别人而我没有比你更好的了。浩你还想我吗？浩我还喜欢你但你已经有别人了还是我要好的闺蜜真搞笑。,昨天21:17,1
全都忘了8,我曾经站在你后面的时候 你为什么不回头看看我 你以为是你的手段高明 但你从没想过我是真的爱你,昨天20:39,
郁金香芙芙,分手了都会买醉嘛,昨天20:28,
Star坟,我感觉很可,昨天20:04,
Fwer1811,加油放平心态，有时候不要太在意自己，去寻找看看自己身边那些美丽的事物，会好起来的[西西机智],昨天19:48,
关一下门_,涛 还有401天咱俩就不能见面啦 我要去大连了 小涛我等你 咱俩一起在大连见面吧。,昨天19:41,1
温柔起了意_aQ7u,突然不怨了 我这么一个零零碎碎的人 爱我的人肯定很累 要拼凑我 要从深渊拉起我 属实累 抑郁症焦虑症双向情感障碍 越来越严重 再见了这个美丽的世界 我愿下辈子再也不要爱而不得了 再见了我的十七岁,昨天15:02,
小慧同学_0P,还会遇见很多人 所以别不幸福.,昨天13:42,1
小慧同学_0P,时间扑面而来 我们终将释怀.,昨天13:41,1
小慧同学_0P,真诚相待吧！陪在我身边吧！,昨天13:37,1
小慧同学_0P,我想的太多了 我把你想的太爱我了……,昨天13:36,1
想我属于你-,男孩不好好珍惜这么好的女孩,昨天13:16,
想我属于你-,说的太到位了,昨天13:16,
