id,title,ongoingStatus,createDate,createDate,endDate
fa0fd5f59b8e49fe9884fef38464bae1,关于G318沪青平公路方厅水院段工程设计方案规划的公示,FINISHED,2022-02-25 19:22:20,2022-02-25 19:22:20,2022-03-13 23:59:59
86970c0141d24b69b575fdf0249c69d1,【人民建议征集】我为高校毕业生就业创业献一计,FINISHED,2022-02-25 15:41:30,2022-02-25 15:41:30,2022-03-31 15:41:13
a760a6afc6ac4dbb8fa60172639b0848,青浦区退役军人事务局关于优待证申领制发意见建议征询,FINISHED,2022-02-23 17:03:48,2022-02-23 17:03:48,2022-03-31 23:59:59
90a636f7a90f4080977d14df036510d8,我为黄浦既有多层住宅加装电梯行动献一计,FINISHED,2022-02-22 15:17:15,2022-02-22 15:17:15,2022-02-28 15:17:02
a051e854bf044af88404dc54ca63f96f,我为黄浦青年发展献一计,FINISHED,2022-02-22 15:16:03,2022-02-22 15:16:03,2022-03-15 15:15:47
65e54a29aaea4901b81cc0bc55a7dfbf,“公园+”成就宝山好“气象”！快来选出你心中的城市温度之窗,FINISHED,2022-02-22 14:23:41,2022-02-22 14:23:41,2022-03-31 14:23:24
84bed56bcadf4142b1a38962583ca8f4,征集“上海青浦”政府网站改版意见建议,FINISHED,2022-02-23 17:05:47,2022-02-23 17:05:47,2022-03-09 23:59:59
0bdccf9ff45d428e9737f61a49d44be6,新建沪渝蓉沿江高铁上海至南京至合肥段 上海宝山站站房暨站城融合核心区概念设计方案征集信息公告,FINISHED,2022-02-22 13:31:40,2022-02-22 13:31:40,2022-02-28 13:31:17
55dd8d1febdb4da48887db2d1de9f851,宝山区2022年青年储备人才招聘公告,FINISHED,2022-02-22 13:32:40,2022-02-22 13:32:40,2022-03-06 13:32:25
b229969ecfeb4923878f2318025fc722,注意！宝山区防控办发布最新公告,FINISHED,2022-03-21 11:59:42,2022-03-21 11:59:42,2022-03-31 11:59:31
be6eadd7795843a291c3eb192b6be1f3,青浦区人社局关于深入企业加强劳动关系指导服务工作建议专项征集活动,FINISHED,2022-03-17 10:15:29,2022-03-17 10:15:29,2022-03-31 23:59:59
f8707eb1edfb4508a3293e8c4a2304c9,关于调整宝山区婚姻登记场所入场核验措施的公告,FINISHED,2022-03-16 14:03:57,2022-03-16 14:03:57,2022-03-31 14:03:41
68a8f97243494c0bb46dd3013116d411,关于征集2022年静安区科普项目的通知,FINISHED,2022-03-15 14:40:09,2022-03-15 14:40:09,2022-03-31 23:59:59
3be226b7829044cd9cbe2a6334f544c4,我为困难退役军人帮扶援助工作献一计,FINISHED,2022-03-14 17:05:48,2022-03-14 17:05:48,2022-03-27 17:05:27
7ad7748f49e1436eb1ebdd1018636b53,2022虹口区居委会“全岗通”擂台赛活动投票开始啦！,FINISHED,2022-02-21 10:18:09,2022-02-21 10:18:09,2022-02-25 10:19:19
685f052024c84cc3bdb2e912ea83b2cc,关于修订《关于进一步完善本市非居民天然气用户上下游价格联动机制的通知》公开征求意见的公告,FINISHED,2022-03-08 11:27:18,2022-03-08 11:27:18,2022-04-04 11:26:32
db8e4e21748444edb265598355f5bd78,关于调整宝山区婚姻登记场所疫情防控措施的公告,FINISHED,2022-03-22 11:14:37,2022-03-22 11:14:37,2022-03-31 11:14:31
00430cbac6294ab9b9ac9c8e9d2a6d5d,黄浦区关于加快推进数字产业发展的政策意见（草案）的征求意见稿向社会公开征求意见的公告,FINISHED,2022-09-15 15:21:02,2022-09-15 15:21:02,2022-09-18 15:20:45
51b51a82662c43c6bfbce73030478eb0,崇明区国有土地上房屋征收补偿标准，公开征求意见,FINISHED,2022-03-23 15:38:41,2022-03-23 15:38:41,2022-04-02 15:38:14
0990bff6a75144628028fd73fc13ddc7,关于鼓励宝山企业采取居家办公等灵活措施的倡议书,FINISHED,2022-03-16 14:05:45,2022-03-16 14:05:45,2022-03-31 14:05:37
087f0bfa16374187a895441156805aae,你的家有哪些值得分享的故事？“我家的‘人世间’故事”主题征文来了,FINISHED,2022-03-24 09:18:53,2022-03-24 09:18:53,2022-06-30 09:21:01
d7341901d26c45daa22691b310bebfc9,“好物崇明，花韵瀛洲”特色文旅商品评选活动火热启动！快来参赛,FINISHED,2022-03-23 15:39:31,2022-03-23 15:39:31,2022-04-30 15:39:06
df1a93f916694f60a09d1363a1d64678,关于上海市2022年度“科技创新行动计划”软科学研究拟立项项目公示的通知,FINISHED,2022-03-01 12:11:54,2022-03-01 12:11:54,2022-03-07 17:00:00
a47ee1e861f9497a8b6fb687009bdbe8,关于金山海上风电场一期项目竞争配置结果的公示,FINISHED,2022-03-23 19:13:06,2022-03-23 19:13:06,2022-03-30 19:12:52
b3877da437084f288280c9a269d6a257,黄浦科创集团（筹）经理层副职岗位市场化选聘公告,FINISHED,2022-09-15 15:18:30,2022-09-15 15:18:30,2022-09-30 15:18:15
bb9a680e99494486bacb91038d248d24,关于开展2022年黄浦区知识产权发展扶持项目申报的通知,FINISHED,2022-03-22 16:50:39,2022-03-22 16:50:39,2022-04-20 16:50:20
32a9892d73974e91a135b2ebffa4f12f,关于2022年度第二批科技金融保费拟补贴额公示的通知,FINISHED,2022-09-13 19:08:59,2022-09-13 19:08:59,2022-09-19 16:30:00
6fb3c430fbbf4a1098811dfd9213e32f,《关于做好本市基层快递网点优先参加工伤保险工作的通知（征求意见稿）》征询公众意见,FINISHED,2022-03-25 10:34:43,2022-03-25 10:34:43,2022-04-01 23:59:59
c5b767ce2baa4386aed51941aba3fc9b,我为徐汇普惠金融发展献一计,FINISHED,2022-09-13 10:19:24,2022-09-13 10:19:24,2022-10-13 10:18:56
21e31d23e474416e8b5279ca31d7b375,道路栏杆请您绘 美丽城市共行动,FINISHED,2022-03-03 16:27:26,2022-03-03 16:27:26,2022-04-30 16:17:55
94cf83b427634878bf07faaf1dbc2c53,关于征集《基础教育学校绿化技术标准》 （征求意见稿）意见的通知,FINISHED,2022-09-09 14:09:13,2022-09-09 14:09:13,2022-10-09 23:59:59
b97ac5bba55849f9b515acfaf8fadbf8,宝山区关于“人民满意的公务员”和 “人民满意的 公务员集体”推荐对象的公示,FINISHED,2022-03-23 10:54:12,2022-03-23 10:54:12,2022-03-29 10:53:56
abb47c8092104852a9829f9883a9667e,关于上海市2022年度“科技创新行动计划”启明星计划拟资助人员名单公示的通知,FINISHED,2022-03-22 11:50:50,2022-03-22 11:50:50,2022-03-28 17:00:00
60ccbb52537e461886e045d6a19fa59f,关于《长三角主要城市中心城区高质量发展联盟2022年工作计划（征求意见稿）》征求公众意见的公告,FINISHED,2022-03-22 16:51:55,2022-03-22 16:51:55,2022-03-23 16:51:42
892f06ee6df94b6ab8c93a7cc226dfe4,关于2022年度第一批国家重要科技计划项目上海市地方匹配资金拟匹配项目公示的通知,FINISHED,2022-03-02 13:35:21,2022-03-02 13:35:21,2022-03-08 17:00:00
67acbd66e3df45caaecc38cfd24a0303,关于《上海市城镇供水价格管理实施细则（征求意见稿）》公开征求意见的公告,FINISHED,2022-09-30 15:26:34,2022-09-30 15:26:34,2022-10-30 17:00:00
a830e3375d61476692e1877fd2121431,意见征集！等你一起深化虹口区公共法律服务体系​建设,FINISHED,2022-08-29 10:04:11,2022-08-29 10:04:11,2022-09-24 10:07:31
1249445ed6d34720a0c56732ed3bdb92,关于《黄浦区鼓励贸易型总部发展的实施意见》征求公众意见的公告,FINISHED,2022-09-15 15:19:43,2022-09-15 15:19:43,2022-09-28 15:19:45
384be94d441d4c2898c559114cd18e27,关于向社会公开征集2023年度政府规章立法项目建议的公告,FINISHED,2022-09-26 11:14:37,2022-09-26 11:14:37,2022-10-31 23:59:59
b342402aebc74343a3fb8b4de2521c07,青浦区2021年社区工作者公开招聘拟录用人员名单公示（第三批）,FINISHED,2022-03-25 13:24:23,2022-03-25 13:24:23,2022-03-31 13:23:39
056b454ef9c94baaaa24de7f018f08a9,关于公开征求《2022年青浦区第二批公交线网调整方案》意见的公告,FINISHED,2022-09-24 17:18:24,2022-09-24 17:18:24,2022-09-29 23:59:59
393ca1b1e5b7455b958c08ed1e8bdcba,关于南汇支线（两港市域铁路）工程东大公路站至临港综合区站区间建设工程设计方案的公示,FINISHED,2022-09-23 09:46:00,2022-09-23 09:46:00,2022-10-07 23:59:59
2be883447d8c4dafa4fac05025b8ea7c,关于南汇支线（两港市域铁路）工程T3航站楼站至下盐路站区间建设工程设计方案的公示,FINISHED,2022-09-23 09:45:06,2022-09-23 09:45:06,2022-10-07 23:59:59
4b5ada4b0f6b45eba04ae0bf1b047585,虹口时间银行形象征集活动开始啦,FINISHED,2022-10-06 09:08:58,2022-10-06 09:08:58,2022-10-20 09:09:20
e7e25504cdf843ba9e4c8be8c956b611,关于南汇支线（两港市域铁路）工程下盐路站至东大公路站区间建设工程设计方案的公示,FINISHED,2022-09-23 09:44:26,2022-09-23 09:44:26,2022-10-07 23:59:59
156c969bea094e448bd1f7095a1e24ea,2022年上海市青浦区事业单位拟录用人员名单公示（第二批）,FINISHED,2022-09-19 10:21:02,2022-09-19 10:21:02,2022-09-23 10:20:21
