commentId,nickname,userId,hotComment
5546059848,无伞雨,643460754,一起去看看，这四海。还年轻着，那风就要往猛里吹，笑得往畅快里去，喜欢就轰轰烈烈的告白，至于爱…得先听听‘爱与喜欢的区别’。
5546059526,单单为你浪漫心动,391214464,爱呀不就是喜欢吗都起始于怦然心动喜欢是你 爱的是你@尤长靖
5546057653,gina滾滾,1471111475,你挥舞仙女棒，说要送我天上的星星，我望向你眼睛，那火星像跳跳糖，在心里蹦跳，批哩啪啦地，绽放出一朵又一朵璀璨烟花
5546058489,今天又懒得起床TT,392551131,「喜欢一朵花，你可以摘下来带走；但是爱一朵花，你会看着它生长」喜欢是有条件的索取，爱是毫无条件的付出；喜欢是乍见之欢，爱是久处不厌；喜欢是浅浅的爱，爱是深深的喜欢。因为爱你，我愿意把月光分你，期盼着你会有永恒的满月。
5546059351,小璇yeah,2004142786,喜欢是乍见之欢，爱是久处不厌喜欢是心里想想，爱是一定会有行动但是相同的是爱与喜欢都是你喜欢你 也爱你！！！
5546057646,枝亦_,504152007,你说，爱和喜欢，有什么区别啊？“不就是喜欢吗？”“不就是爱了吗？”你会有永恒的满月@尤长靖
5546057624,有长进的薰衣草,1401467648,想喜欢你，跌跌撞撞​中邂逅爱的初见。要爱着你，渐沉渐深的回忆激荡着欢与喜。喜欢只一瞬，爱促成永恒。
5546057623,晓琳同学_,301456627,大事小事 蓝天白云海边微风 钢筋电线如若是你 喜欢与爱又有什么区别呢
5546058607,木乃伊蚊子,1400890064,喜欢是想把他美好的样子留在身边爱是默默地守护让他继续发光
5546057641,__小洁Melody,266885628,爱与喜欢没什么区别，因为都是你
5546059454,A6三块,125706394,哎呀～想就去行动吧别一直纠结那只会让心动猖獗不管是哪种感觉都会让人期待发生着
5546057728,我才是空白猫眼,627028531,现在天正下雨 可我好想越过人潮跑着去见你不敢轻易承认是爱 所以只能偷偷说喜欢也许你是这样 希望你是这样
5546058568,尤长靖有没有吃饱,6375770537,爱与喜欢的区别根本没区别是海风有点甜 开水有点咸遇见你在夏天忽然的遇见重叠的视线
5546061792,折光给你,1421072894,五分喜欢的人，恨不得把他挂在嘴上招摇过市。有七分喜欢，就只能跟至亲密友分享。有十分喜欢 ，那就谁也不舍得说了，每天都会多一点小确幸，这是不是就是爱了。
5546060962,隔壁_老张头_,55785558,“喜欢是放肆 爱是克制”
